,EMP,EMP_S,EMPSZFI,EMPSZFI_TTL,ETH_GROUP,ETH_GROUP_TTL,FIRMPDEMP,FIRMPDEMP_S,GEO_ID,GEO_TTL,GEOTYPE,MSA,NAICS2012,NAICS2012_TTL,PAYANN,PAYANN_S,RACE_GROUP,RACE_GROUP_TTL,RCPPDEMP,RCPPDEMP_S,RCPSZFI,RCPSZFI_TTL,SEX,SEX_TTL,ST,VET_GROUP,VET_GROUP_TTL,YEAR,YIBSZFI,YIBSZFI_TTL,us
1,6973459,1.3,641,Firms with 20 to 49 employees,001,All firms,231413,1.4,0100000US,United States,01,00000,00,Total for all sectors,291824041,1.6,00,All firms,1385683572,1.9,001,All firms,003,Male-owned,00,001,All firms,2014,001,All firms,00
2,4663039,2.8,642,Firms with 50 to 99 employees,001,All firms,68449,2.8,0100000US,United States,01,00000,00,Total for all sectors,208586006,3.0,00,All firms,1107167693,3.5,001,All firms,003,Male-owned,00,001,All firms,2014,001,All firms,00
3,4689659,2.4,651,Firms with 100 to 249 employees,001,All firms,31606,2.5,0100000US,United States,01,00000,00,Total for all sectors,221101882,2.6,00,All firms,1267764684,4.4,001,All firms,003,Male-owned,00,001,All firms,2014,001,All firms,00
4,2725228,6.2,652,Firms with 250 to 499 employees,001,All firms,7988,6.3,0100000US,United States,01,00000,00,Total for all sectors,133578039,5.0,00,All firms,751005091,8.4,001,All firms,003,Male-owned,00,001,All firms,2014,001,All firms,00
5,8775515,2.1,657,Firms with 500 employees or more,001,All firms,5205,4.7,0100000US,United States,01,00000,00,Total for all sectors,349587211,3.3,00,All firms,1942901019,6.6,001,All firms,003,Male-owned,00,001,All firms,2014,001,All firms,00
6,6696450,1.5,001,All firms,001,All firms,774405,0.6,0100000US,United States,01,00000,00,Total for all sectors,205449017,1.7,00,All firms,991077570,2.1,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
7,316697,3.7,001,All firms,001,All firms,65308,2.5,0100000US,United States,01,00000,00,Total for all sectors,7657545,5.2,00,All firms,37553551,4.2,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,311,Firms with less than 2 years in business,00
8,607482,3.3,001,All firms,001,All firms,102522,0.9,0100000US,United States,01,00000,00,Total for all sectors,13953198,3.6,00,All firms,62881701,2.0,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,318,Firms with 2 to 3 years in business,00
9,518691,3.2,001,All firms,001,All firms,71833,2.0,0100000US,United States,01,00000,00,Total for all sectors,12559093,4.5,00,All firms,57158086,4.1,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,319,Firms with 4 to 5 years in business,00
10,1275486,3.4,001,All firms,001,All firms,174833,1.6,0100000US,United States,01,00000,00,Total for all sectors,35596377,3.7,00,All firms,160926487,3.5,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,321,Firms with 6 to 10 years in business,00
